merchant_id,segment,week,health_score,survival_prob_4w,p_failure_4w,revenue_at_risk,net_revenue_at_risk,refund_rate,chargeback_rate,anomaly_score,cluster_label,umap_x,umap_y,xgb_predicted_score,risk_tier,top_driver_1,top_driver_1_val,top_driver_2,top_driver_2_val,alert_text
MID_0011,healthy,24,68.70882591551937,0.5,0.5,196390.82,192576.82,0.15659,0.02617,9.38,Healthy,5.5074,7.1675,68.66,Yellow,refund_x_chargeback,-2.655,anomaly_score,0.9332,"Score driven by refund_x_chargeback (increased risk, 2.65pts) and anomaly_score (reduced risk, 0.93pts)."
MID_0012,healthy,24,67.52297667895778,0.5,0.5,227766.53,223327.75,0.15463,0.02728,14.24,Healthy,5.3676,7.7284,67.52,Yellow,refund_x_chargeback,-2.8118,refund_rate,0.6322,"Score driven by refund_x_chargeback (increased risk, 2.81pts) and refund_rate (reduced risk, 0.63pts)."
MID_0013,healthy,24,71.39223903502331,0.5,0.5,859094.73,842270.47,0.09514,0.01668,9.69,Healthy,13.3972,12.9499,71.37,Yellow,refund_rate,2.2451,gmv_trend_slope,-0.7937,"Score driven by refund_rate (reduced risk, 2.25pts) and gmv_trend_slope (increased risk, 0.79pts)."
MID_0014,healthy,24,79.32205639724957,0.5,0.5,251462.8,246486.74,0.02523,0.00461,5.23,Healthy,17.6389,10.2193,79.44,Green,refund_rate,4.5436,anomaly_score,1.5787,"Score driven by refund_rate (reduced risk, 4.54pts) and anomaly_score (reduced risk, 1.58pts)."
MID_0015,healthy,24,70.17266491674022,0.5,0.5,302753.58,296867.98,0.14825,0.02787,6.17,Healthy,5.472,7.4561,70.18,Yellow,refund_x_chargeback,-2.5157,anomaly_score,1.7131,"Score driven by refund_x_chargeback (increased risk, 2.52pts) and anomaly_score (reduced risk, 1.71pts)."
MID_0016,healthy,24,76.99318413105684,0.5,0.5,637967.72,625257.95,0.01988,0.00922,12.01,Healthy,9.5584,7.4485,77.01,Green,refund_rate,4.7268,refund_x_chargeback,1.1387,"Score driven by refund_rate (reduced risk, 4.73pts) and refund_x_chargeback (reduced risk, 1.14pts)."
MID_0017,healthy,24,72.6558169809028,0.5,0.5,516932.79,506652.07,0.03932,0.00602,22.37,Healthy,12.6908,13.3308,72.62,Yellow,refund_rate,4.4346,anomaly_score,-3.0285,"Score driven by refund_rate (reduced risk, 4.43pts) and anomaly_score (increased risk, 3.03pts)."
MID_0018,healthy,24,76.98886674438424,0.5,0.5,210450.11,206277.3,0.0234,0.01147,11.05,Healthy,12.1188,4.5333,76.88,Green,refund_rate,4.3484,refund_x_chargeback,1.0868,"Score driven by refund_rate (reduced risk, 4.35pts) and refund_x_chargeback (reduced risk, 1.09pts)."
MID_0019,healthy,24,79.67891640873928,0.5,0.5,185498.15,181802.13,0.01,0.00149,8.37,Risky,0.5491,3.6525,79.61,Green,refund_rate,5.1159,refund_x_chargeback,1.4532,"Score driven by refund_rate (reduced risk, 5.12pts) and refund_x_chargeback (reduced risk, 1.45pts)."
MID_0020,healthy,24,76.66553843360018,0.5,0.5,420770.28,412495.89,0.07596,0.0132,3.39,Healthy,7.5483,6.7769,76.7,Green,refund_rate,2.679,anomaly_score,1.8633,"Score driven by refund_rate (reduced risk, 2.68pts) and anomaly_score (reduced risk, 1.86pts)."
MID_0021,healthy,24,76.91903725907704,0.5,0.5,468526.55,459235.21,0.02172,0.00696,9.45,Healthy,13.158,13.9022,76.93,Green,refund_rate,4.4878,refund_x_chargeback,0.9929,"Score driven by refund_rate (reduced risk, 4.49pts) and refund_x_chargeback (reduced risk, 0.99pts)."
MID_0022,healthy,24,78.04419617227147,0.5,0.5,416145.72,407888.98,0.01749,0.00139,9.88,Risky,0.4501,3.7022,78.1,Green,refund_rate,4.8193,refund_x_chargeback,1.3498,"Score driven by refund_rate (reduced risk, 4.82pts) and refund_x_chargeback (reduced risk, 1.35pts)."
MID_0023,healthy,24,75.71132278690766,0.5,0.5,559328.93,548263.28,0.04537,0.01402,7.1,Healthy,8.917,7.1087,75.73,Green,refund_rate,3.4989,anomaly_score,1.0357,"Score driven by refund_rate (reduced risk, 3.50pts) and anomaly_score (reduced risk, 1.04pts)."
MID_0024,healthy,24,73.25805075142897,0.5,0.5,533581.23,523124.7,0.10157,0.0163,7.18,Healthy,13.6947,12.7636,73.14,Yellow,refund_rate,2.3139,anomaly_score,1.1604,"Score driven by refund_rate (reduced risk, 2.31pts) and anomaly_score (reduced risk, 1.16pts)."
MID_0025,healthy,24,79.08208278906072,0.5,0.5,197254.96,193344.53,0.02153,0.00486,7.12,Risky,0.2452,3.4802,79.13,Green,refund_rate,4.6127,refund_x_chargeback,1.2861,"Score driven by refund_rate (reduced risk, 4.61pts) and refund_x_chargeback (reduced risk, 1.29pts)."
MID_0026,healthy,24,63.77925081299123,0.5,0.5,409206.39,401336.33,0.15569,0.03904,18.51,Healthy,4.8329,7.6302,63.77,Yellow,refund_x_chargeback,-3.7306,anomaly_score,-2.1364,"Score driven by refund_x_chargeback (increased risk, 3.73pts) and anomaly_score (increased risk, 2.14pts)."
MID_0027,healthy,24,75.3816396737752,0.5,0.5,173179.32,169767.42,0.06392,0.01747,6.55,Healthy,13.5356,13.1864,75.36,Green,refund_rate,3.1456,anomaly_score,1.2406,"Score driven by refund_rate (reduced risk, 3.15pts) and anomaly_score (reduced risk, 1.24pts)."
MID_0028,healthy,24,76.05265318003573,0.5,0.5,324149.93,317729.99,0.05014,0.0115,8.73,Healthy,13.3051,13.6905,76.21,Green,refund_rate,3.8724,refund_x_chargeback,0.9174,"Score driven by refund_rate (reduced risk, 3.87pts) and refund_x_chargeback (reduced risk, 0.92pts)."
MID_0029,healthy,24,78.4968568300121,0.5,0.5,294667.62,288811.65,0.02185,0.00404,7.42,Risky,0.472,3.641,78.5,Green,refund_rate,4.6968,refund_x_chargeback,1.2637,"Score driven by refund_rate (reduced risk, 4.70pts) and refund_x_chargeback (reduced risk, 1.26pts)."
MID_0030,healthy,24,76.77302983350359,0.5,0.5,336263.7,329564.28,0.03078,0.00954,11.21,Healthy,13.5028,13.9949,76.78,Green,refund_rate,4.3493,refund_x_chargeback,1.0857,"Score driven by refund_rate (reduced risk, 4.35pts) and refund_x_chargeback (reduced risk, 1.09pts)."
MID_0031,healthy,24,74.42255796496137,0.5,0.5,192735.69,188958.09,0.10342,0.01884,2.98,Healthy,7.087,6.3348,74.51,Yellow,refund_rate,2.301,anomaly_score,2.2545,"Score driven by refund_rate (reduced risk, 2.30pts) and anomaly_score (reduced risk, 2.25pts)."
MID_0032,healthy,24,78.21837971585565,0.5,0.5,377455.84,369963.39,0.01693,0.0038,10.44,Risky,0.6086,3.6687,78.21,Green,refund_rate,4.8883,refund_x_chargeback,1.2889,"Score driven by refund_rate (reduced risk, 4.89pts) and refund_x_chargeback (reduced risk, 1.29pts)."
MID_0033,healthy,24,73.46882876086471,0.5,0.5,750533.71,735691.29,0.0557,0.00654,14.96,Healthy,12.9635,13.7369,73.48,Yellow,refund_rate,3.5189,anomaly_score,-1.0511,"Score driven by refund_rate (reduced risk, 3.52pts) and anomaly_score (increased risk, 1.05pts)."
MID_0034,healthy,24,77.7172233376085,0.5,0.5,732276.31,717742.82,0.02684,0.00636,6.99,Healthy,13.2716,13.8857,77.76,Green,refund_rate,4.465,anomaly_score,1.1298,"Score driven by refund_rate (reduced risk, 4.46pts) and anomaly_score (reduced risk, 1.13pts)."
MID_0035,healthy,24,76.87479231751433,0.5,0.5,233595.73,228961.13,0.02832,0.001,14.33,Risky,1.0481,3.5371,76.84,Green,refund_rate,4.8763,refund_x_chargeback,1.3121,"Score driven by refund_rate (reduced risk, 4.88pts) and refund_x_chargeback (reduced risk, 1.31pts)."
MID_0036,healthy,24,65.59693493610604,0.5,0.5,288005.18,282384.95,0.12998,0.0326,20.33,Healthy,13.3734,12.232,65.62,Yellow,refund_x_chargeback,-2.9209,anomaly_score,-2.8124,"Score driven by refund_x_chargeback (increased risk, 2.92pts) and anomaly_score (increased risk, 2.81pts)."
MID_0037,healthy,24,68.34834826099623,0.5,0.5,814293.88,798345.68,0.12482,0.02815,12.53,Healthy,13.2158,12.3697,68.36,Yellow,refund_x_chargeback,-2.4013,refund_rate,1.4962,"Score driven by refund_x_chargeback (increased risk, 2.40pts) and refund_rate (reduced risk, 1.50pts)."
MID_0038,healthy,24,74.81842340019628,0.5,0.5,403823.01,395790.1,0.02405,0.0085,17.97,Healthy,13.157,13.9667,74.83,Yellow,refund_rate,5.1738,anomaly_score,-2.3383,"Score driven by refund_rate (reduced risk, 5.17pts) and anomaly_score (increased risk, 2.34pts)."
MID_0039,healthy,24,77.39330958697266,0.5,0.5,270001.11,264651.45,0.02098,0.001,14.26,Healthy,11.093,5.0914,77.32,Green,refund_rate,4.9035,refund_x_chargeback,1.3516,"Score driven by refund_rate (reduced risk, 4.90pts) and refund_x_chargeback (reduced risk, 1.35pts)."
MID_0040,healthy,24,74.78877594824357,0.5,0.5,587876.67,576352.27,0.06785,0.01516,8.36,Healthy,13.7051,13.4322,74.84,Yellow,refund_rate,2.708,anomaly_score,0.7462,"Score driven by refund_rate (reduced risk, 2.71pts) and anomaly_score (reduced risk, 0.75pts)."
MID_0041,healthy,24,80.55675537483125,0.5,0.5,294717.98,288855.15,0.02039,0.00435,2.75,Healthy,12.0343,4.2612,80.59,Green,refund_rate,4.7654,anomaly_score,2.084,"Score driven by refund_rate (reduced risk, 4.77pts) and anomaly_score (reduced risk, 2.08pts)."
MID_0042,healthy,24,66.34307009330973,0.5,0.5,157755.53,154707.81,0.18387,0.03504,9.84,Healthy,3.9798,7.8713,66.39,Yellow,refund_rate,-3.2366,refund_x_chargeback,-1.8851,"Score driven by refund_rate (increased risk, 3.24pts) and refund_x_chargeback (increased risk, 1.89pts)."
MID_0043,healthy,24,78.5848026002612,0.5,0.5,303030.18,296994.66,0.01159,0.00481,9.89,Risky,0.3851,3.5477,78.62,Green,refund_rate,4.9017,refund_x_chargeback,1.322,"Score driven by refund_rate (reduced risk, 4.90pts) and refund_x_chargeback (reduced risk, 1.32pts)."
MID_0044,healthy,24,59.87593110516172,0.5,0.5,598792.73,587198.37,0.19631,0.03903,25.25,Healthy,12.5317,11.381,59.86,Yellow,refund_rate,-4.173,anomaly_score,-3.7298,"Score driven by refund_rate (increased risk, 4.17pts) and anomaly_score (increased risk, 3.73pts)."
MID_0045,healthy,24,78.34397248354425,0.5,0.5,490442.9,480735.42,0.04584,0.01249,3.88,Healthy,8.6231,7.3283,78.39,Green,refund_rate,3.7951,anomaly_score,1.8827,"Score driven by refund_rate (reduced risk, 3.80pts) and anomaly_score (reduced risk, 1.88pts)."
MID_0046,healthy,24,72.24843878669466,0.5,0.5,343956.74,337210.85,0.11243,0.02141,7.34,Healthy,13.6563,12.6332,72.3,Yellow,refund_rate,2.067,refund_x_chargeback,-1.3977,"Score driven by refund_rate (reduced risk, 2.07pts) and refund_x_chargeback (increased risk, 1.40pts)."
MID_0047,healthy,24,78.58537602301784,0.5,0.5,295868.08,289991.95,0.03059,0.00674,5.92,Risky,0.5659,3.6306,78.51,Green,refund_rate,4.4521,anomaly_score,1.4101,"Score driven by refund_rate (reduced risk, 4.45pts) and anomaly_score (reduced risk, 1.41pts)."
MID_0048,healthy,24,79.03251418585782,0.5,0.5,188062.87,184327.18,0.01251,0.0023,8.96,Risky,0.5629,3.6945,79.02,Green,refund_rate,5.0999,refund_x_chargeback,1.3761,"Score driven by refund_rate (reduced risk, 5.10pts) and refund_x_chargeback (reduced risk, 1.38pts)."
MID_0049,healthy,24,66.10058583411526,0.5,0.5,459144.52,450267.11,0.15837,0.03494,12.25,Healthy,13.1254,11.8478,66.17,Yellow,refund_x_chargeback,-3.3797,refund_rate_zscore_peer,-0.3062,"Score driven by refund_x_chargeback (increased risk, 3.38pts) and refund_rate_zscore_peer (increased risk, 0.31pts)."
MID_0050,healthy,24,79.47339978185549,0.5,0.5,466048.21,456791.68,0.03018,0.00434,3.56,Healthy,12.0114,4.1803,79.52,Green,refund_rate,4.4046,anomaly_score,1.9248,"Score driven by refund_rate (reduced risk, 4.40pts) and anomaly_score (reduced risk, 1.92pts)."
MID_0051,healthy,24,67.28761794003388,0.5,0.5,226151.12,221758.42,0.15876,0.02682,14.48,Healthy,5.3006,7.7603,67.23,Yellow,refund_x_chargeback,-2.8805,anomaly_score,-0.7261,"Score driven by refund_x_chargeback (increased risk, 2.88pts) and anomaly_score (increased risk, 0.73pts)."
MID_0052,healthy,24,79.19167608325508,0.5,0.5,239707.08,234932.21,0.01,0.00524,8.65,Healthy,12.0674,4.8469,79.22,Green,refund_rate,4.9673,refund_x_chargeback,1.3387,"Score driven by refund_rate (reduced risk, 4.97pts) and refund_x_chargeback (reduced risk, 1.34pts)."
MID_0053,healthy,24,63.677621101697525,0.5,0.5,281356.63,275866.39,0.1576,0.03898,22.71,Healthy,12.7855,11.6069,63.72,Yellow,refund_x_chargeback,-3.4673,anomaly_score,-2.8965,"Score driven by refund_x_chargeback (increased risk, 3.47pts) and anomaly_score (increased risk, 2.90pts)."
MID_0054,healthy,24,64.3332414460317,0.5,0.5,826022.01,809977.04,0.16021,0.02272,22.37,Healthy,12.7251,11.9153,64.37,Yellow,anomaly_score,-2.8213,refund_x_chargeback,-2.6494,"Score driven by anomaly_score (increased risk, 2.82pts) and refund_x_chargeback (increased risk, 2.65pts)."
MID_0055,healthy,24,74.19762518936453,0.5,0.5,393175.95,385395.46,0.0773,0.01129,10.53,Healthy,13.1367,13.14,74.21,Yellow,refund_rate,2.5203,refund_x_chargeback,0.709,"Score driven by refund_rate (reduced risk, 2.52pts) and refund_x_chargeback (reduced risk, 0.71pts)."
MID_0056,healthy,24,78.4699967053766,0.5,0.5,429456.32,420949.07,0.01905,0.001,9.37,Healthy,11.5243,4.5347,78.48,Green,refund_rate,4.7928,refund_x_chargeback,1.386,"Score driven by refund_rate (reduced risk, 4.79pts) and refund_x_chargeback (reduced risk, 1.39pts)."
MID_0057,healthy,24,77.73926548280133,0.5,0.5,184850.37,181180.33,0.04749,0.00679,6.56,Risky,0.5307,3.6789,77.8,Green,refund_rate,3.8662,anomaly_score,1.1976,"Score driven by refund_rate (reduced risk, 3.87pts) and anomaly_score (reduced risk, 1.20pts)."
MID_0058,healthy,24,62.126377870326486,0.5,0.5,428176.64,419925.49,0.17862,0.04276,21.51,Healthy,12.9483,11.4423,62.09,Yellow,anomaly_score,-3.0378,refund_rate,-2.696,"Score driven by anomaly_score (increased risk, 3.04pts) and refund_rate (increased risk, 2.70pts)."
MID_0059,healthy,24,74.57209507743396,0.5,0.5,554214.45,543268.22,0.0314,0.01353,12.49,Healthy,13.5656,14.0009,74.55,Yellow,refund_rate,3.9824,refund_x_chargeback,0.9818,"Score driven by refund_rate (reduced risk, 3.98pts) and refund_x_chargeback (reduced risk, 0.98pts)."
MID_0060,healthy,24,64.84675738297514,0.5,0.5,619005.88,607025.66,0.17638,0.03703,13.73,Healthy,4.7364,7.7434,64.9,Yellow,refund_x_chargeback,-2.842,refund_rate,-1.6687,"Score driven by refund_x_chargeback (increased risk, 2.84pts) and refund_rate (increased risk, 1.67pts)."
MID_0061,healthy,24,68.84014005609856,0.5,0.5,290625.62,284965.94,0.13844,0.02476,12.68,Healthy,5.5972,7.5069,68.87,Yellow,refund_x_chargeback,-2.2266,refund_rate,1.1424,"Score driven by refund_x_chargeback (increased risk, 2.23pts) and refund_rate (reduced risk, 1.14pts)."
MID_0062,healthy,24,73.01769780236404,0.5,0.5,222547.05,218195.14,0.11071,0.02294,4.86,Healthy,6.7054,6.9038,73.05,Yellow,refund_rate,1.9721,anomaly_score,1.7947,"Score driven by refund_rate (reduced risk, 1.97pts) and anomaly_score (reduced risk, 1.79pts)."
MID_0063,healthy,24,76.16659044163012,0.5,0.5,528989.96,518511.04,0.04784,0.0071,6.84,Healthy,8.8701,6.4841,76.16,Green,refund_rate,3.4607,anomaly_score,1.0775,"Score driven by refund_rate (reduced risk, 3.46pts) and anomaly_score (reduced risk, 1.08pts)."
MID_0064,healthy,24,69.7918509860377,0.5,0.5,1042327.29,1021806.55,0.06611,0.01718,18.79,Healthy,12.9575,13.0212,69.81,Yellow,refund_rate,3.2196,anomaly_score,-2.4881,"Score driven by refund_rate (reduced risk, 3.22pts) and anomaly_score (increased risk, 2.49pts)."
MID_0065,healthy,24,78.53694581899772,0.5,0.5,267858.95,262533.05,0.02003,0.00293,8.3,Risky,0.5183,3.5988,78.68,Green,refund_rate,4.922,refund_x_chargeback,1.2736,"Score driven by refund_rate (reduced risk, 4.92pts) and refund_x_chargeback (reduced risk, 1.27pts)."
MID_0066,healthy,24,79.53960471355545,0.5,0.5,262698.17,257479.17,0.02569,0.00316,4.04,Healthy,11.9629,4.2094,79.5,Green,refund_rate,4.4796,anomaly_score,1.8863,"Score driven by refund_rate (reduced risk, 4.48pts) and anomaly_score (reduced risk, 1.89pts)."
MID_0067,healthy,24,66.41469045008091,0.5,0.5,299190.13,293413.98,0.18581,0.0369,8.72,Healthy,4.4189,7.8022,66.51,Yellow,refund_rate,-3.3964,refund_x_chargeback,-1.8774,"Score driven by refund_rate (increased risk, 3.40pts) and refund_x_chargeback (increased risk, 1.88pts)."
MID_0068,healthy,24,77.73926837515599,0.5,0.5,182138.7,178535.79,0.0431,0.00817,6.48,Risky,0.6145,3.6894,77.79,Green,refund_rate,3.9514,anomaly_score,1.1899,"Score driven by refund_rate (reduced risk, 3.95pts) and anomaly_score (reduced risk, 1.19pts)."
MID_0069,healthy,24,73.10109030045382,0.5,0.5,269444.11,264184.85,0.1068,0.01769,6.99,Healthy,6.7503,6.3278,73.14,Yellow,refund_rate,2.0341,anomaly_score,1.3143,"Score driven by refund_rate (reduced risk, 2.03pts) and anomaly_score (reduced risk, 1.31pts)."
MID_0070,healthy,24,68.317006869165,0.5,0.5,452828.98,444032.14,0.14117,0.03092,9.71,Healthy,13.264,12.0866,68.26,Yellow,refund_x_chargeback,-3.0773,refund_rate,0.7895,"Score driven by refund_x_chargeback (increased risk, 3.08pts) and refund_rate (reduced risk, 0.79pts)."
MID_0071,healthy,24,67.89184619207222,0.5,0.5,920647.82,902492.57,0.09351,0.01837,18.83,Healthy,12.8484,12.8476,67.95,Yellow,refund_rate,2.7716,anomaly_score,-2.5629,"Score driven by refund_rate (reduced risk, 2.77pts) and anomaly_score (increased risk, 2.56pts)."
MID_0072,healthy,24,74.12282925397754,0.5,0.5,299455.03,293546.46,0.07583,0.01236,10.63,Healthy,13.1357,13.1733,74.17,Yellow,refund_rate,2.6622,refund_x_chargeback,0.6514,"Score driven by refund_rate (reduced risk, 2.66pts) and refund_x_chargeback (reduced risk, 0.65pts)."
MID_0073,healthy,24,78.96029212597008,0.5,0.5,280023.81,274528.14,0.01963,0.00731,5.43,Risky,12.1276,3.9454,78.99,Green,refund_rate,4.6715,anomaly_score,1.5223,"Score driven by refund_rate (reduced risk, 4.67pts) and anomaly_score (reduced risk, 1.52pts)."
MID_0074,healthy,24,65.0500888867146,0.5,0.5,546115.51,535549.86,0.17934,0.03918,12.57,Healthy,4.6326,7.6598,65.04,Yellow,refund_rate,-3.2292,refund_x_chargeback,-1.786,"Score driven by refund_rate (increased risk, 3.23pts) and refund_x_chargeback (increased risk, 1.79pts)."
MID_0075,healthy,24,79.59883292769784,0.5,0.5,136041.82,133332.35,0.01246,0.001,8.63,Risky,0.5777,3.6574,79.61,Green,refund_rate,5.1896,refund_x_chargeback,1.4601,"Score driven by refund_rate (reduced risk, 5.19pts) and refund_x_chargeback (reduced risk, 1.46pts)."
MID_0076,healthy,24,75.83541513155099,0.5,0.5,333058.83,326449.35,0.04041,0.01324,10.49,Healthy,8.95,7.3183,75.76,Green,refund_rate,3.687,refund_x_chargeback,0.8925,"Score driven by refund_rate (reduced risk, 3.69pts) and refund_x_chargeback (reduced risk, 0.89pts)."
MID_0077,healthy,24,76.67696064364817,0.5,0.5,268173.29,262859.75,0.04226,0.00902,9.3,Healthy,13.5695,13.9562,76.77,Green,refund_rate,3.9261,refund_x_chargeback,0.9757,"Score driven by refund_rate (reduced risk, 3.93pts) and refund_x_chargeback (reduced risk, 0.98pts)."
MID_0078,healthy,24,74.59708935878767,0.5,0.5,328156.75,321651.07,0.04081,0.00223,18.56,Risky,1.2505,3.4799,74.65,Yellow,refund_rate,4.5912,anomaly_score,-2.3593,"Score driven by refund_rate (reduced risk, 4.59pts) and anomaly_score (increased risk, 2.36pts)."
MID_0079,healthy,24,74.12566680559574,0.5,0.5,455507.8,446499.61,0.07715,0.01534,8.2,Healthy,7.8352,7.2533,74.07,Yellow,refund_rate,2.4484,anomaly_score,0.8506,"Score driven by refund_rate (reduced risk, 2.45pts) and anomaly_score (reduced risk, 0.85pts)."
MID_0080,healthy,24,72.20371567867313,0.5,0.5,710666.32,696566.12,0.0323,0.00473,23.28,Healthy,10.8574,5.1696,72.2,Yellow,refund_rate,4.4208,anomaly_score,-3.2551,"Score driven by refund_rate (reduced risk, 4.42pts) and anomaly_score (increased risk, 3.26pts)."
MID_0081,healthy,24,77.06995631151486,0.5,0.5,275820.82,270387.19,0.06606,0.00839,3.36,Healthy,7.7859,7.0032,77.06,Green,refund_rate,2.9409,anomaly_score,1.8537,"Score driven by refund_rate (reduced risk, 2.94pts) and anomaly_score (reduced risk, 1.85pts)."
MID_0082,healthy,24,77.24668049613803,0.5,0.5,884412.94,866790.9,0.01305,0.00541,13.25,Risky,15.8402,2.9601,77.32,Green,refund_rate,4.9563,refund_x_chargeback,1.344,"Score driven by refund_rate (reduced risk, 4.96pts) and refund_x_chargeback (reduced risk, 1.34pts)."
MID_0083,healthy,24,73.40726424192836,0.5,0.5,305120.36,299069.62,0.07126,0.01563,13.02,Healthy,13.0938,13.0998,73.42,Yellow,refund_rate,3.0148,anomaly_score,-0.3991,"Score driven by refund_rate (reduced risk, 3.01pts) and anomaly_score (increased risk, 0.40pts)."
MID_0084,healthy,24,76.63878642334183,0.5,0.5,574594.27,563189.29,0.02088,0.00996,10.73,Risky,15.8563,2.9707,76.68,Green,refund_rate,4.376,refund_x_chargeback,1.1247,"Score driven by refund_rate (reduced risk, 4.38pts) and refund_x_chargeback (reduced risk, 1.12pts)."
MID_0085,healthy,24,63.684521713609364,0.5,0.5,382784.2,375394.15,0.18223,0.038,15.39,Healthy,12.8715,11.5206,63.65,Yellow,refund_rate,-3.5925,refund_x_chargeback,-1.9192,"Score driven by refund_rate (increased risk, 3.59pts) and refund_x_chargeback (increased risk, 1.92pts)."
MID_0086,healthy,24,78.25869706784009,0.5,0.5,389661.13,381901.94,0.02482,0.00252,7.75,Healthy,11.7447,4.3504,78.27,Green,refund_rate,4.4892,refund_x_chargeback,1.2911,"Score driven by refund_rate (reduced risk, 4.49pts) and refund_x_chargeback (reduced risk, 1.29pts)."
MID_0087,healthy,24,65.34600620959738,0.5,0.5,781903.47,766765.58,0.18184,0.03003,13.42,Healthy,4.6179,7.6377,65.36,Yellow,refund_rate,-3.1272,refund_x_chargeback,-1.7259,"Score driven by refund_rate (increased risk, 3.13pts) and refund_x_chargeback (increased risk, 1.73pts)."
MID_0088,healthy,24,72.79438991226259,0.5,0.5,230451.88,225923.78,0.0942,0.0213,9.47,Healthy,13.2349,12.9588,72.7,Yellow,refund_rate,2.5391,refund_x_chargeback,-1.255,"Score driven by refund_rate (reduced risk, 2.54pts) and refund_x_chargeback (increased risk, 1.25pts)."
MID_0089,healthy,24,67.3389438225972,0.5,0.5,263221.51,258118.92,0.17733,0.03122,8.76,Healthy,4.6461,7.5592,67.25,Yellow,refund_rate,-2.4569,refund_x_chargeback,-2.0382,"Score driven by refund_rate (increased risk, 2.46pts) and refund_x_chargeback (increased risk, 2.04pts)."
MID_0090,healthy,24,69.7081580603716,0.5,0.5,623571.04,611377.12,0.12167,0.02607,12.41,Healthy,6.613,7.933,69.73,Yellow,refund_x_chargeback,-2.1154,refund_rate,1.8744,"Score driven by refund_x_chargeback (increased risk, 2.12pts) and refund_rate (reduced risk, 1.87pts)."
MID_0091,healthy,24,71.53945749738848,0.5,0.5,779861.84,764566.2,0.08611,0.01904,9.19,Healthy,13.5649,13.0287,71.56,Yellow,refund_rate,2.4005,gmv_trend_slope,-0.8047,"Score driven by refund_rate (reduced risk, 2.40pts) and gmv_trend_slope (increased risk, 0.80pts)."
